"Table 5: Local Authority: Gross Domestic Product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North West,E08000013,St. Helens,"1,857","2,014","2,101","2,202","2,328","2,444","2,554","2,628","2,800","2,891","2,904","2,852","3,017","3,009","2,891","2,974","3,097","3,145","3,208","3,223","3,313","3,400","3,103","3,448"
North West,E08000012,Liverpool,"6,557","6,912","7,311","7,747","8,199","9,004","9,581","10,111","11,017","11,008","11,525","11,985","12,232","12,410","12,236","12,504","13,124","13,423","13,706","14,215","14,510","15,588","14,716","15,911"
North West,E08000014,Sefton,"2,519","2,691","2,774","2,935","3,129","3,327","3,491","3,586","3,794","3,848","3,979","3,993","4,146","4,126","4,062","4,179","4,338","4,470","4,669","4,831","5,006","5,125","4,945","5,431"
North West,E08000015,Wirral,"3,004","3,215","3,312","3,489","3,685","3,953","4,208","4,276","4,516","4,585","4,730","4,725","4,905","4,992","5,035","5,185","5,361","5,656","5,636","5,886","5,979","6,325","6,225","6,632"
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","3,368","3,469","3,670","3,832","4,087","4,390","4,523","4,731","5,167","5,401","5,913","5,874","5,692","5,529","5,644","5,706","5,783","6,058","6,283","6,507","6,722","6,835","6,344","6,879"
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"4,197","4,204","4,390","4,604","4,970","5,298","5,669","5,894","6,207","6,302","6,360","6,073","6,007","6,059","6,197","6,416","6,735","7,039","7,199","7,549","7,979","8,310","7,924","8,603"
Yorkshire and The Humber,E06000012,North East Lincolnshire,"1,996","2,059","2,138","2,229","2,310","2,435","2,532","2,640","2,769","2,944","2,997","2,940","2,919","3,039","3,043","3,177","3,375","3,537","3,559","3,655","3,664","3,826","3,725","4,014"
Yorkshire and The Humber,E06000013,North Lincolnshire,"2,535","2,496","2,598","2,703","2,778","3,126","3,361","3,533","3,470","3,925","4,196","3,812","4,111","3,825","3,817","3,954","4,028","4,453","4,580","4,948","4,893","5,696","5,222","6,059"
Yorkshire and The Humber,E06000014,York,"3,364","3,524","3,691","3,901","4,214","4,488","4,874","5,032","5,078","5,350","5,360","5,155","5,358","5,576","5,726","5,814","5,993","6,123","6,393","6,770","6,948","7,000","6,420","6,862"
Yorkshire and The Humber,E07000163,Craven,729,747,780,824,903,953,994,"1,037","1,094","1,174","1,201","1,164","1,205","1,254","1,245","1,284","1,360","1,425","1,494","1,619","1,681","1,735","1,634","1,803"
Yorkshire and The Humber,E07000164,Hambleton,"1,439","1,480","1,536","1,619","1,757","1,848","1,949","2,046","2,091","2,170","2,237","2,121","2,179","2,289","2,281","2,385","2,448","2,499","2,570","2,675","2,688","2,764","2,577","2,858"
Yorkshire and The Humber,E07000165,Harrogate,"2,285","2,384","2,510","2,648","2,921","3,085","3,204","3,286","3,401","3,658","3,699","3,535","3,645","3,847","3,892","4,069","4,160","4,300","4,560","4,904","4,937","5,092","4,858","5,366"
Yorkshire and The Humber,E07000166,Richmondshire,674,695,730,775,838,882,949,982,"1,010","1,063","1,099","1,089","1,108","1,165","1,221","1,282","1,219","1,209","1,313","1,352","1,368","1,419","1,347","1,445"
Yorkshire and The Humber,E07000167,Ryedale,648,682,717,747,810,881,898,933,956,989,"1,007",939,979,"1,065","1,123","1,190","1,282","1,307","1,400","1,463","1,475","1,571","1,514","1,573"
Yorkshire and The Humber,E07000168,Scarborough,"1,214","1,237","1,300","1,357","1,458","1,547","1,659","1,726","1,774","1,842","1,894","1,849","1,865","1,964","1,928","1,998","2,062","2,090","2,180","2,306","2,347","2,392","2,263","2,444"
Yorkshire and The Humber,E07000169,Selby,"1,464","1,453","1,499","1,529","1,647","1,717","1,724","1,796","2,073","2,177","2,189","2,227","2,112","2,103","2,212","2,269","2,273","2,312","2,320","2,489","2,502","2,674","2,470","2,751"
Yorkshire and The Humber,E08000016,Barnsley,"2,363","2,383","2,468","2,582","2,696","2,875","3,063","3,169","3,308","3,540","3,484","3,351","3,485","3,605","3,682","3,857","4,046","4,195","4,274","4,453","4,640","4,822","4,611","5,055"
Yorkshire and The Humber,E08000017,Doncaster,"3,177","3,246","3,358","3,510","3,701","3,943","4,230","4,349","4,621","4,928","4,945","4,694","4,893","4,959","5,052","5,186","5,524","5,932","6,110","6,623","6,698","6,889","6,567","7,103"
Yorkshire and The Humber,E08000018,Rotherham,"2,886","2,919","3,028","3,168","3,359","3,567","3,714","3,867","4,007","4,285","4,287","4,114","4,330","4,467","4,714","4,768","4,945","5,161","5,285","5,514","5,595","5,759","5,431","5,955"
Yorkshire and The Humber,E08000019,Sheffield,"7,179","7,284","7,597","8,188","8,725","9,336","9,880","10,333","10,895","11,545","11,372","11,349","11,678","12,126","12,459","12,834","13,165","13,605","13,764","14,022","14,203","14,827","14,404","15,415"
Yorkshire and The Humber,E08000032,Bradford,"5,936","6,256","6,333","6,525","6,786","7,187","7,579","7,963","8,241","8,651","8,922","8,749","8,874","9,289","9,541","9,777","9,898","10,279","10,533","11,081","11,251","11,387","11,112","11,912"
Yorkshire and The Humber,E08000035,Leeds,"13,540","14,427","14,863","15,414","16,183","17,541","18,694","20,001","21,238","22,395","22,189","22,037","22,527","23,080","23,694","24,347","25,032","26,101","26,501","27,303","28,907","29,786","28,227","30,553"
Yorkshire and The Humber,E08000033,Calderdale,"2,503","2,627","2,663","2,766","2,834","3,040","3,219","3,506","3,702","3,866","3,713","3,597","3,721","3,864","3,976","4,148","4,732","5,192","5,254","5,639","5,986","6,011","5,091","5,668"
Yorkshire and The Humber,E08000034,Kirklees,"4,616","4,841","4,936","5,057","5,193","5,483","5,703","5,978","6,184","6,493","6,578","6,395","6,568","6,778","6,941","7,137","7,386","7,787","7,999","8,484","8,843","8,922","8,944","9,703"
Yorkshire and The Humber,E08000036,Wakefield,"4,602","4,843","4,997","5,196","5,382","5,670","5,886","6,143","6,356","6,568","6,695","6,550","6,532","6,703","6,878","7,130","7,194","7,659","8,005","8,308","8,789","9,160","8,813","9,771"
East Midlands,E06000015,Derby,"4,207","4,463","4,647","4,868","5,132","5,330","5,740","6,239","6,423","6,592","6,521","6,418","6,616","7,035","7,069","7,385","7,277","7,333","7,501","7,585","8,055","8,331","7,961","8,363"
East Midlands,E07000033,Bolsover,"1,181","1,200","1,215","1,260","1,274","1,291","1,340","1,416","1,452","1,505","1,582","1,544","1,607","1,631","1,707","1,724","1,734","1,935","2,045","2,159","2,303","2,346","2,248","2,465"
East Midlands,E07000034,Chesterfield,"1,329","1,368","1,412","1,495","1,574","1,630","1,728","1,850","1,903","1,984","2,023","1,963","2,083","2,114","2,217","2,249","2,330","2,479","2,553","2,631","2,729","2,777","2,879","3,200"
East Midlands,E07000038,North East Derbyshire,908,958,976,"1,001","1,038","1,088","1,127","1,200","1,220","1,250","1,293","1,222","1,283","1,353","1,386","1,421","1,536","1,658","1,667","1,661","1,749","1,828","1,792","1,954"
East Midlands,E07000032,Amber Valley,"1,717","1,751","1,737","1,778","1,850","1,911","2,000","2,131","2,203","2,286","2,354","2,217","2,341","2,403","2,534","2,617","2,743","2,819","2,890","2,932","3,042","3,209","3,138","3,407"
East Midlands,E07000035,Derbyshire Dales,"1,000","1,042","1,059","1,106","1,141","1,188","1,253","1,328","1,354","1,396","1,440","1,372","1,455","1,506","1,601","1,596","1,591","1,608","1,701","1,733","1,849","1,851","1,733","1,899"
East Midlands,E07000036,Erewash,"1,043","1,081","1,098","1,152","1,198","1,239","1,299","1,377","1,437","1,474","1,507","1,428","1,521","1,625","1,680","1,746","1,777","1,838","1,943","2,005","2,061","2,194","2,070","2,225"
