"Road length (kilometres) by road type and local authority in Great Britain, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0201a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in this table may not sum due to rounding,,,,,,,,,,,,,Kilometres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ONS Area 
Code",Region,Local Authority,Trunk motorways,Principal motorways,All motorways,Trunk rural 'A' roads,Trunk urban 'A' roads,Principal rural 'A' roads,Principal urban 'A' roads,All 'A' roads,Rural 'B' roads,Urban 'B' roads,Rural 'C' and 'U' roads,Urban 'C' and 'U' roads,All minor roads,Major trunk roads,Major principal roads,Minor roads,Total road length ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000023,North East,South Tyneside,0.1,0.0,0.1,7.8,1.4,16.1,31.7,57.0,5.6,27.1,38.2,442.0,512.9,9.3,47.8,512.9,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000024,North East,Sunderland,3.9,0.0,3.9,12.4,0.5,37.0,57.7,107.6,15.4,33.1,115.1,899.4,"1,063.0",16.8,94.7,"1,063.0","1,174.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000008,North West,Blackburn with Darwen UA,8.0,0.0,8.0,0.0,0.0,16.8,39.0,55.8,7.1,11.5,91.0,385.1,494.6,8.0,55.8,494.6,558.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000009,North West,Blackpool UA,0.4,0.0,0.4,0.0,0.0,2.8,39.0,41.8,0.0,21.4,7.2,387.2,415.8,0.4,41.8,415.8,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000049,North West,Cheshire East UA,47.3,0.0,47.3,8.1,0.0,315.3,94.4,417.8,98.7,45.9,"1,336.0",984.3,"2,465.0",55.4,409.7,"2,465.0","2,930.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000050,North West,Cheshire West and Chester UA,41.0,0.0,41.0,30.5,2.0,216.8,71.0,320.3,109.7,32.3,"1,170.6",775.7,"2,088.3",73.5,287.8,"2,088.3","2,449.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000006,North West,Halton UA,6.4,0.0,6.4,0.0,0.0,27.3,28.4,55.7,2.9,13.8,93.1,422.6,532.6,6.4,55.7,532.6,594.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000007,North West,Warrington UA,34.8,0.0,34.8,0.0,0.0,56.3,59.1,115.4,26.4,9.2,218.4,597.7,851.9,34.8,115.4,851.9,"1,002.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000006,North West,Cumbria ,107.2,0.0,107.2,198.5,7.5,755.9,51.8,"1,013.7",569.5,17.0,"5,588.2",762.1,"6,936.8",313.2,807.7,"6,936.8","8,057.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000001,North West,Bolton,17.2,0.0,17.2,0.0,0.0,26.2,78.1,104.3,10.3,37.8,65.2,765.9,879.1,17.2,104.3,879.1,"1,000.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
